id,observed_on,latitude,longitude,common_name
4426958,2015-08-16,21.0261872122,-97.1939849854,Slate Pencil Urchin
4427410,2016-09-13,21.1347845709,-97.2705459595,Reef Urchin
4427412,2016-08-12,21.0277895193,-97.1944999695,West Indian Sea Egg
4442067,2016-10-20,32.8194131,-79.7343791,Purple-brown Urchin
4456691,2016-07-31,21.186973,-97.303505,Purple-brown Urchin
4495045,2016-11-04,29.89922,-84.53672,
4521869,2016-08-24,19.1837391367,-96.0953736305,Reef Urchin
4588495,2016-11-04,32.7957510961,-79.7625315658,Purple-brown Urchin
4592898,2010-03-16,24.659744,-81.2743985,"Sea Urchins, Sand Dollars, and Heart Urchins"
4592899,2010-03-16,24.659744,-81.2743985,"Sea Urchins, Sand Dollars, and Heart Urchins"
4592901,2010-03-16,24.659744,-81.2743985,Fat Sea Biscuit
4595734,2016-11-11,21.1997768073,-86.7372322083,Slate Pencil Urchin
4613756,2016-11-15,20.5057376101,-86.957513317,Atlantic Long-spined Sea Urchin
4613757,2016-11-15,20.5057376101,-86.957513317,Atlantic Long-spined Sea Urchin
4644608,2016-09-14,24.5377536024,-97.6938630099,"Sea Urchins, Sand Dollars, and Heart Urchins"
4673805,2016-12-01,27.6207519975,-97.1993883793,Five-slotted Sand Dollar
4673806,2016-12-01,27.6207410172,-97.1993950848,Five-slotted Sand Dollar
4674368,2016-11-20,21.2053782491,-86.7253875732,Slate Pencil Urchin
4684097,2016-12-03,32.7980317898,-79.7538133082,Purple-brown Urchin
4731040,2016-12-07,29.6465639545,-81.2146569696,Purple-brown Urchin
4732545,2016-12-07,30.2833657572,-86.0171079543,Mud Heart Urchin
4732551,2016-12-07,30.2833910706,-86.0172261392,Mud Heart Urchin
4742156,2016-12-09,26.437211,-82.127954,Sand Dollars and Sea Biscuits
4744194,2016-12-09,26.4365208105,-82.125770418,Keyhole Sand Dollar
4751978,2016-12-10,26.4369789242,-82.1258545522,Keyhole Sand Dollars
4767387,2016-12-13,26.435499,-82.124967,Keyhole Sand Dollar
4767478,2016-12-13,26.435129,-82.124385,Keyhole Sand Dollars
4773915,2016-12-14,26.482601,-82.184123,Purple-brown Urchin
4778130,2016-12-15,26.426248,-82.061092,Keyhole Sand Dollar
4780490,2016-11-04,29.9165630341,-84.5116500854,
4780492,2016-11-04,29.9165630341,-84.5116500854,"Sea Urchins, Sand Dollars, and Heart Urchins"
4781793,2016-12-16,26.454027,-82.014211,Keyhole Sand Dollars
4787520,2016-12-17,26.440585,-82.132093,Keyhole Sand Dollar
4847035,2016-04-04,19.199566216,-96.0678863525,Atlantic Rock-boring Urchin
4858989,2016-12-28,26.7042713165,-82.2557754517,Variegated Sea Urchin
4862269,2016-12-29,30.2833555313,-86.0171990656,Mud Heart Urchin
4864100,2014-03-14,19.1993027815,-96.0681653023,Reef Urchin
4868750,2016-12-29,21.161496829,-90.0534296042,Toxopneustids
4872561,2016-12-30,27.6677416667,-97.1727,Five-slotted Sand Dollar
4886020,2013-07-24,20.4229839,-86.9223432,Red Heart Urchin
4891856,2013-07-24,20.4229839,-86.9223432,Six-keyhole Sand Dollar
4891861,2013-07-24,20.4229839,-86.9223432,Slate Pencil Urchin
4891983,2013-07-21,20.4229839,-86.9223432,West Indian Sea Egg
4893222,2016-09-20,19.2965624231,-81.3913536072,Atlantic Long-spined Sea Urchin
4900365,2013-07-20,21.2366946,-86.7357679,Reef Urchin
4900373,2013-07-20,21.2366946,-86.7357679,Atlantic Rock-boring Urchin
4900395,2013-07-20,21.2366946,-86.7357679,Variegated Sea Urchin
4979828,2017-01-12,29.7078687883,-81.2274273759,Five-slotted Sand Dollar
5024049,2017-01-27,18.1528333333,-94.5053116667,Five-slotted Sand Dollar
5034798,2017-01-25,21.0836291631,-86.7752873898,Six-keyhole Sand Dollar
5076846,2017-01-29,26.4469350001,-82.0214956999,Keyhole Sand Dollars
5101819,2017-02-11,18.1530616667,-94.44444,Keyhole Sand Dollars
5101821,2017-02-11,18.1520716667,-94.4521383333,Keyhole Sand Dollars
5101822,2017-02-11,18.1511166667,-94.4629216667,Five-slotted Sand Dollar
5101824,2017-02-11,18.1511383333,-94.4632416667,Five-slotted Sand Dollar
5101825,2017-02-11,18.1511383333,-94.4632866667,Five-slotted Sand Dollar
5150581,2016-11-16,19.9740344636,-74.9465632439,Atlantic Rock-boring Urchin
5157802,2016-11-26,21.5715684026,-77.0325279236,Atlantic Long-spined Sea Urchin
5159466,2015-05-16,19.1013737991,-95.9385796684,Atlantic Long-spined Sea Urchin
5159628,2017-02-23,20.4758746484,-97.001048661,Atlantic Rock-boring Urchin
5169296,2017-02-24,34.7196343455,-76.673135049,Purple-brown Urchin
5192791,2017-02-26,18.21911,-94.6113433333,Five-slotted Sand Dollar
5192831,2017-02-26,18.219865,-94.6117033333,Five-slotted Sand Dollar
5192850,2017-02-26,18.21997,-94.611835,Five-slotted Sand Dollar
