id,observed_on,Latitude,Longitude
32985278,2019-01-01,34.6944758113,-76.6843287163
33512445,2018-02-04,26.3109275782,-80.0755346737
33554668,2018-01-19,28.071759611,-80.5554256821
33554677,2018-01-19,28.0710774826,-80.5550908921
33680819,2019-02-01,27.204995,-80.16835
33987247,2019-10-06,35.6073641678,-75.4644813556
34330967,2019-10-13,35.2273100515,-75.6230877872
34763016,2019-05-24,31.24728,-81.2782816667
34763021,2019-05-24,31.2937783333,-81.2773066667
35290252,2019-11-04,29.2896938324,-81.0381317139
35380745,2019-11-06,29.9173639518,-81.2901770692
35414743,2019-11-07,35.4745553318,-75.4829588239
35567718,2019-11-11,28.0688422203,-80.5562478187
35672040,2019-11-14,30.5924732828,-81.4427254884
35887822,2019-11-17,25.7316714943,-80.1620868681
35961210,2019-11-15,30.0200117082,-81.3217183084
36168734,2019-11-28,25.7669277191,-80.1319732666
36168931,2019-11-28,25.7667484283,-80.1318130493
36190179,2019-11-29,25.7167177415,-80.1492919308
36190488,2019-11-29,25.7177783037,-80.1488568262
36198672,2019-11-29,26.328774998,-80.0728370716
36242148,2019-11-30,26.465575,-80.0567555
36274484,2019-02-02,26.6128888889,-80.0366583333
36318651,2019-11-30,26.10246667,-80.10448333
36332690,2019-11-30,26.1268249618,-80.1031680563
36364949,2019-11-30,25.85773333,-80.11887217
36404835,2019-12-01,26.090151471,-80.1091642058
36464807,2019-12-08,25.7863216541,-80.1273243498
36464828,2019-12-08,25.7866374815,-80.1272805311
36474823,2019-12-08,26.5854663849,-80.0378646851
36476635,2019-12-08,26.5869216919,-80.0374984741
36499552,2019-12-08,25.73728667,-80.15248883
36533567,2019-12-10,24.7166466667,-81.0241388333
36562183,2019-12-11,24.7166083333,-81.0241611667
36563078,2019-12-11,25.3309898376,-80.2577209473
36631332,2019-12-13,25.8125953674,-80.1212005615
36649774,2019-11-05,35.2310913851,-75.5425298165
36652045,2019-11-07,35.7157841716,-75.4963733622
36709259,2019-12-16,26.8964424133,-80.0576019287
36711519,2019-12-16,26.892370224,-80.0566177368
36733959,2019-12-17,26.4617012954,-80.0574171358
36738387,2019-12-17,25.8368600859,-80.1193995495
36801863,2019-12-20,26.1154842855,-80.1041877414
36802737,2019-12-20,27.64335,-80.35205833
36806288,2019-12-20,29.52218833,-81.14742217
36806302,2019-12-20,29.52010333,-81.14642217
36806305,2019-12-20,29.52058667,-81.1484305
36806318,2019-12-20,29.51794167,-81.145325
36806417,2019-12-20,25.819525,-80.1212388333
36807224,2019-12-19,27.3757313658,-80.252031684
36807228,2019-12-19,27.3766121781,-80.2524903417
36822862,2019-12-21,24.7412192786,-80.9800742136
36824672,2019-12-21,28.09332783,-80.56568
36834153,2019-12-21,26.9430968618,-80.0720322933
36842108,2019-12-21,29.24078833,-81.01366388
36842614,2019-12-21,28.35025333,-80.60478333
36866772,2019-12-22,25.7829394698,-80.1278234385
36874180,2019-02-19,26.6137247806,-80.0364788122
36893559,2019-12-23,25.73635,-80.15364717
36897400,2019-12-23,27.476755,-80.29156333
36951800,2019-12-21,26.923145,-80.0666971667
36969778,2019-12-26,25.70105,-80.1546555
36969945,2019-12-26,26.18379463,-80.09550121
36970049,2019-12-26,26.18393619,-80.09551835
36971288,2019-12-26,29.8438625336,-81.264213562
36972260,2019-12-26,26.8930830682,-80.0566183403
36973165,2019-12-26,26.4615353263,-80.0574072511
36974813,2019-12-26,26.795355,-80.03147217
36975637,2019-12-26,27.90859167,-80.473945
36978130,2019-12-26,28.3216495514,-80.6071395874
36997981,2019-12-27,25.8488138532,-80.1189895906
36998639,2019-12-27,30.2974243164,-81.3904418945
36999095,2019-12-27,28.3376607439,-80.6060477347
36999772,2019-12-27,28.0899894708,-80.5646906951
37001013,2019-12-27,29.648396275,-81.2037819532
37009482,2019-12-27,26.0173451555,-80.1147733133
37009680,2019-12-27,26.0165085454,-80.1147565793
37011210,2019-12-27,30.69125833,-81.428055
37012977,2019-12-27,28.6770436988,-80.6469932479
37012980,2019-12-27,28.6770436988,-80.6469932479
37013008,2019-12-27,28.6770436988,-80.6469932479
37013022,2019-12-27,28.6770436988,-80.6469932479
37030255,2019-12-28,29.04551383,-80.89855833
37030913,2019-12-28,26.4412806449,-80.060409252
37033437,2019-12-28,29.917227129,-81.2899926942
37034639,2019-12-24,28.2752383333,-80.6054533333
37035053,2019-12-28,26.1237666667,-80.1034471667
37036200,2019-12-28,29.8816623688,-81.2724075317
37062411,2019-12-29,29.1992340088,-80.9935455322
37063032,2019-12-29,27.257785321,-80.1972851772
37069576,2019-12-29,29.029950371,-80.9226607041
37069990,2019-12-29,25.77515687,-80.12945269
37070958,2019-12-29,28.33237167,-80.60794667
37070974,2019-12-29,26.1989676024,-80.2816700417
37073264,2019-12-29,26.9165137432,-80.0654756902
37074589,2019-12-29,25.7902370895,-80.1267810632
37075049,2019-12-29,28.2246704101,-80.599209713
37075324,2019-12-29,26.5839848388,-80.0377385226
37077173,2019-12-29,26.4434009869,-80.0599702564
37077443,2019-12-29,28.2979896991,-80.606744187
37077842,2019-12-29,26.143393999,-80.1017777671
37087999,2019-12-27,30.4560508728,-81.4109573364
